30 90; 0 0; -30 30
14 18; 16 39; 10 14
14 17; 16 40; 11 14
14 16; 16 41; 12 14
14 15; 16 42; 13 14
14 14; 16 43; 14 14
15 14; 16 44; 15 14
16 14; 16 45; 16 14
17 14; 16 46; 17 14
18 14; 16 47; 18 14
19 14; 16 48; 19 14
20 14; 16 49; 20 14
21 14; 16 50; 21 14
22 14; 16 51; 22 14
23 14; 16 52; 23 14
24 14; 16 53; 24 14
25 14; 16 54; 25 14
26 14; 16 55; 26 14
27 14; 16 56; 27 14
28 14; 16 57; 28 14
29 14; 16 58; 29 14
30 14; 16 59; 30 14
30 107; 17 0; -30 13
29 103; 17 1; -29 13
28 99; 17 2; -28 13
27 95; 17 3; -27 13
26 91; 17 4; -26 13
25 87; 17 5; -25 13
24 83; 17 6; -24 13
23 79; 17 7; -23 13
22 75; 17 8; -22 13
21 71; 17 9; -21 13
20 67; 17 10; -20 13
19 63; 17 11; -19 13
18 59; 17 12; -18 13
17 55; 17 13; -17 13
16 51; 17 14; -16 13
15 47; 17 15; -15 13
14 43; 17 16; -14 13
13 39; 17 17; -13 13
13 38; 17 18; -12 13
13 37; 17 19; -11 13
13 36; 17 20; -10 13
13 35; 17 21; -9 13
13 34; 17 22; -8 13
13 33; 17 23; -7 13
13 32; 17 24; -6 13
13 31; 17 25; -5 13
13 30; 17 26; -4 13
13 29; 17 27; -3 13
13 28; 17 28; -2 13
13 27; 17 29; -1 13
13 25; 17 30; 1 13
13 24; 17 31; 2 13
13 23; 17 32; 3 13
13 22; 17 33; 4 13
13 21; 17 34; 5 13
13 20; 17 35; 6 13
13 19; 17 36; 7 13
13 18; 17 37; 8 13
13 17; 17 38; 9 13
13 16; 17 39; 10 13
13 15; 17 40; 11 13
13 14; 17 41; 12 13
13 13; 17 42; 13 13
14 13; 17 43; 14 13
15 13; 17 44; 15 13
16 13; 17 45; 16 13
17 13; 17 46; 17 13
18 13; 17 47; 18 13
19 13; 17 48; 19 13
20 13; 17 49; 20 13
21 13; 17 50; 21 13
22 13; 17 51; 22 13
23 13; 17 52; 23 13
24 13; 17 53; 24 13
25 13; 17 54; 25 13
26 13; 17 55; 26 13
27 13; 17 56; 27 13
28 13; 17 57; 28 13
29 13; 17 58; 29 13
30 13; 17 59; 30 13
30 108; 18 0; -30 12
29 104; 18 1; -29 12
28 100; 18 2; -28 12
27 96; 18 3; -27 12
26 92; 18 4; -26 12
25 88; 18 5; -25 12
24 84; 18 6; -24 12
23 80; 18 7; -23 12
22 76; 18 8; -22 12
21 72; 18 9; -21 12
20 68; 18 10; -20 12
19 64; 18 11; -19 12
18 60; 18 12; -18 12
17 56; 18 13; -17 12
16 52; 18 14; -16 12
15 48; 18 15; -15 12
14 44; 18 16; -14 12
13 40; 18 17; -13 12
12 36; 18 18; -12 12
12 35; 18 19; -11 12
12 34; 18 20; -10 12
12 33; 18 21; -9 12
12 32; 18 22; -8 12
12 31; 18 23; -7 12
12 30; 18 24; -6 12
12 29; 18 25; -5 12
12 28; 18 26; -4 12
12 27; 18 27; -3 12
12 26; 18 28; -2 12
12 25; 18 29; -1 12
12 23; 18 30; 1 12
12 22; 18 31; 2 12
12 21; 18 32; 3 12
12 20; 18 33; 4 12
12 19; 18 34; 5 12
12 18; 18 35; 6 12
12 17; 18 36; 7 12
12 16; 18 37; 8 12
12 15; 18 38; 9 12
12 14; 18 39; 10 12
12 13; 18 40; 11 12
12 12; 18 41; 12 12
13 12; 18 42; 13 12
14 12; 18 43; 14 12
15 12; 18 44; 15 12
16 12; 18 45; 16 12
17 12; 18 46; 17 12
18 12; 18 47; 18 12
19 12; 18 48; 19 12
20 12; 18 49; 20 12
21 12; 18 50; 21 12
22 12; 18 51; 22 12
23 12; 18 52; 23 12
24 12; 18 53; 24 12
25 12; 18 54; 25 12
26 12; 18 55; 26 12
27 12; 18 56; 27 12
28 12; 18 57; 28 12
29 12; 18 58; 29 12
30 12; 18 59; 30 12
30 109; 19 0; -30 11
29 105; 19 1; -29 11
28 101; 19 2; -28 11
27 97; 19 3; -27 11
26 93; 19 4; -26 11
25 89; 19 5; -25 11
24 85; 19 6; -24 11
23 81; 19 7; -23 11
22 77; 19 8; -22 11
21 73; 19 9; -21 11
20 69; 19 10; -20 11
19 65; 19 11; -19 11
18 61; 19 12; -18 11
17 57; 19 13; -17 11
16 53; 19 14; -16 11
15 49; 19 15; -15 11
14 45; 19 16; -14 11
13 41; 19 17; -13 11
12 37; 19 18; -12 11
11 33; 19 19; -11 11
11 32; 19 20; -10 11
11 31; 19 21; -9 11
11 30; 19 22; -8 11
11 29; 19 23; -7 11
11 28; 19 24; -6 11
11 27; 19 25; -5 11
11 26; 19 26; -4 11
11 25; 19 27; -3 11
11 24; 19 28; -2 11
11 23; 19 29; -1 11
11 21; 19 30; 1 11
11 20; 19 31; 2 11
11 19; 19 32; 3 11
11 18; 19 33; 4 11
11 17; 19 34; 5 11
11 16; 19 35; 6 11
11 15; 19 36; 7 11
11 14; 19 37; 8 11
11 13; 19 38; 9 11
11 12; 19 39; 10 11
11 11; 19 40; 11 11
12 11; 19 41; 12 11
13 11; 19 42; 13 11
14 11; 19 43; 14 11
15 11; 19 44; 15 11
16 11; 19 45; 16 11
17 11; 19 46; 17 11
18 11; 19 47; 18 11
19 11; 19 48; 19 11
20 11; 19 49; 20 11
21 11; 19 50; 21 11
22 11; 19 51; 22 11
23 11; 19 52; 23 11
24 11; 19 53; 24 11
25 11; 19 54; 25 11
26 11; 19 55; 26 11
27 11; 19 56; 27 11
28 11; 19 57; 28 11
29 11; 19 58; 29 11
30 11; 19 59; 30 11
30 110; 20 0; -30 10
29 106; 20 1; -29 10
28 102; 20 2; -28 10
27 98; 20 3; -27 10
26 94; 20 4; -26 10
25 90; 20 5; -25 10
24 86; 20 6; -24 10
23 82; 20 7; -23 10
22 78; 20 8; -22 10
21 74; 20 9; -21 10
20 70; 20 10; -20 10
19 66; 20 11; -19 10
18 62; 20 12; -18 10
17 58; 20 13; -17 10
16 54; 20 14; -16 10
15 50; 20 15; -15 10
14 46; 20 16; -14 10
13 42; 20 17; -13 10
12 38; 20 18; -12 10
11 34; 20 19; -11 10
10 30; 20 20; -10 10
10 29; 20 21; -9 10
10 28; 20 22; -8 10
10 27; 20 23; -7 10
10 26; 20 24; -6 10
10 25; 20 25; -5 10
10 24; 20 26; -4 10
10 23; 20 27; -3 10
10 22; 20 28; -2 10
10 21; 20 29; -1 10
10 19; 20 30; 1 10
10 18; 20 31; 2 10
10 17; 20 32; 3 10
10 16; 20 33; 4 10
10 15; 20 34; 5 10
10 14; 20 35; 6 10
10 13; 20 36; 7 10
10 12; 20 37; 8 10
10 11; 20 38; 9 10
10 10; 20 39; 10 10
11 10; 20 40; 11 10
12 10; 20 41; 12 10
13 10; 20 42; 13 10
14 10; 20 43; 14 10
15 10; 20 44; 15 10
16 10; 20 45; 16 10
17 10; 20 46; 17 10
18 10; 20 47; 18 10
19 10; 20 48; 19 10
20 10; 20 49; 20 10
21 10; 20 50; 21 10
22 10; 20 51; 22 10
23 10; 20 52; 23 10
24 10; 20 53; 24 10
25 10; 20 54; 25 10
26 10; 20 55; 26 10
27 10; 20 56; 27 10
28 10; 20 57; 28 10
29 10; 20 58; 29 10
30 10; 20 59; 30 10
30 111; 21 0; -30 9
29 107; 21 1; -29 9
28 103; 21 2; -28 9
27 99; 21 3; -27 9
26 95; 21 4; -26 9
25 91; 21 5; -25 9
24 87; 21 6; -24 9
23 83; 21 7; -23 9
22 79; 21 8; -22 9
21 75; 21 9; -21 9
20 71; 21 10; -20 9
19 67; 21 11; -19 9
18 63; 21 12; -18 9
17 59; 21 13; -17 9
16 55; 21 14; -16 9
15 51; 21 15; -15 9
14 47; 21 16; -14 9
13 43; 21 17; -13 9
12 39; 21 18; -12 9
11 35; 21 19; -11 9
10 31; 21 20; -10 9
9 27; 21 21; -9 9
9 26; 21 22; -8 9
9 25; 21 23; -7 9
9 24; 21 24; -6 9
9 23; 21 25; -5 9
9 22; 21 26; -4 9
9 21; 21 27; -3 9
9 20; 21 28; -2 9
9 19; 21 29; -1 9
9 17; 21 30; 1 9
9 16; 21 31; 2 9
9 15; 21 32; 3 9
9 14; 21 33; 4 9
9 13; 21 34; 5 9
9 12; 21 35; 6 9
9 11; 21 36; 7 9
9 10; 21 37; 8 9
9 9; 21 38; 9 9
10 9; 21 39; 10 9
11 9; 21 40; 11 9
12 9; 21 41; 12 9
13 9; 21 42; 13 9
14 9; 21 43; 14 9
15 9; 21 44; 15 9
16 9; 21 45; 16 9
17 9; 21 46; 17 9
18 9; 21 47; 18 9
19 9; 21 48; 19 9
20 9; 21 49; 20 9
21 9; 21 50; 21 9
22 9; 21 51; 22 9
23 9; 21 52; 23 9
24 9; 21 53; 24 9
25 9; 21 54; 25 9
26 9; 21 55; 26 9
27 9; 21 56; 27 9
28 9; 21 57; 28 9
29 9; 21 58; 29 9
30 9; 21 59; 30 9
30 112; 22 0; -30 8
29 108; 22 1; -29 8
28 104; 22 2; -28 8
27 100; 22 3; -27 8
26 96; 22 4; -26 8
25 92; 22 5; -25 8
24 88; 22 6; -24 8
23 84; 22 7; -23 8
22 80; 22 8; -22 8
21 76; 22 9; -21 8
20 72; 22 10; -20 8
19 68; 22 11; -19 8
18 64; 22 12; -18 8
17 60; 22 13; -17 8
16 56; 22 14; -16 8
15 52; 22 15; -15 8
14 48; 22 16; -14 8
13 44; 22 17; -13 8
12 40; 22 18; -12 8
11 36; 22 19; -11 8
10 32; 22 20; -10 8
9 28; 22 21; -9 8
8 24; 22 22; -8 8
8 23; 22 23; -7 8
8 22; 22 24; -6 8
8 21; 22 25; -5 8
8 20; 22 26; -4 8
8 19; 22 27; -3 8
8 18; 22 28; -2 8
8 17; 22 29; -1 8
8 15; 22 30; 1 8
8 14; 22 31; 2 8
8 13; 22 32; 3 8
8 12; 22 33; 4 8
8 11; 22 34; 5 8
8 10; 22 35; 6 8
8 9; 22 36; 7 8
8 8; 22 37; 8 8
9 8; 22 38; 9 8
10 8; 22 39; 10 8
11 8; 22 40; 11 8
12 8; 22 41; 12 8
13 8; 22 42; 13 8
14 8; 22 43; 14 8
15 8; 22 44; 15 8
16 8; 22 45; 16 8
17 8; 22 46; 17 8
18 8; 22 47; 18 8
19 8; 22 48; 19 8
20 8; 22 49; 20 8
21 8; 22 50; 21 8
22 8; 22 51; 22 8
23 8; 22 52; 23 8
24 8; 22 53; 24 8
25 8; 22 54; 25 8
26 8; 22 55; 26 8
27 8; 22 56; 27 8
28 8; 22 57; 28 8
29 8; 22 58; 29 8
30 8; 22 59; 30 8
30 113; 23 0; -30 7
29 109; 23 1; -29 7
28 105; 23 2; -28 7
27 101; 23 3; -27 7
26 97; 23 4; -26 7
25 93; 23 5; -25 7
24 89; 23 6; -24 7
23 85; 23 7; -23 7
22 81; 23 8; -22 7
21 77; 23 9; -21 7
20 73; 23 10; -20 7
19 69; 23 11; -19 7
18 65; 23 12; -18 7
17 61; 23 13; -17 7
16 57; 23 14; -16 7
15 53; 23 15; -15 7
14 49; 23 16; -14 7
13 45; 23 17; -13 7
12 41; 23 18; -12 7
11 37; 23 19; -11 7
10 33; 23 20; -10 7
9 29; 23 21; -9 7
8 25; 23 22; -8 7
7 21; 23 23; -7 7
7 20; 23 24; -6 7
7 19; 23 25; -5 7
7 18; 23 26; -4 7
7 17; 23 27; -3 7
7 16; 23 28; -2 7
7 15; 23 29; -1 7
7 13; 23 30; 1 7
7 12; 23 31; 2 7
7 11; 23 32; 3 7
7 10; 23 33; 4 7
7 9; 23 34; 5 7
7 8; 23 35; 6 7
7 7; 23 36; 7 7
8 7; 23 37; 8 7
9 7; 23 38; 9 7
10 7; 23 39; 10 7
11 7; 23 40; 11 7
12 7; 23 41; 12 7
13 7; 23 42; 13 7
14 7; 23 43; 14 7
15 7; 23 44; 15 7
16 7; 23 45; 16 7
17 7; 23 46; 17 7
18 7; 23 47; 18 7
19 7; 23 48; 19 7
20 7; 23 49; 20 7
21 7; 23 50; 21 7
22 7; 23 51; 22 7
23 7; 23 52; 23 7
24 7; 23 53; 24 7
25 7; 23 54; 25 7
26 7; 23 55; 26 7
27 7; 23 56; 27 7
28 7; 23 57; 28 7
29 7; 23 58; 29 7
30 7; 23 59; 30 7
30 114; 24 0; -30 6
29 110; 24 1; -29 6
28 106; 24 2; -28 6
27 102; 24 3; -27 6
26 98; 24 4; -26 6
25 94; 24 5; -25 6
24 90; 24 6; -24 6
23 86; 24 7; -23 6
22 82; 24 8; -22 6
21 78; 24 9; -21 6
20 74; 24 10; -20 6
19 70; 24 11; -19 6
18 66; 24 12; -18 6
17 62; 24 13; -17 6
16 58; 24 14; -16 6
15 54; 24 15; -15 6
14 50; 24 16; -14 6
13 46; 24 17; -13 6
12 42; 24 18; -12 6
11 38; 24 19; -11 6
10 34; 24 20; -10 6
9 30; 24 21; -9 6
8 26; 24 22; -8 6
7 22; 24 23; -7 6
6 18; 24 24; -6 6
6 17; 24 25; -5 6
6 16; 24 26; -4 6
6 15; 24 27; -3 6
6 14; 24 28; -2 6
6 13; 24 29; -1 6
6 11; 24 30; 1 6
6 10; 24 31; 2 6
6 9; 24 32; 3 6
6 8; 24 33; 4 6
6 7; 24 34; 5 6
6 6; 24 35; 6 6
7 6; 24 36; 7 6
8 6; 24 37; 8 6
9 6; 24 38; 9 6
10 6; 24 39; 10 6
11 6; 24 40; 11 6
12 6; 24 41; 12 6
13 6; 24 42; 13 6
14 6; 24 43; 14 6
15 6; 24 44; 15 6
16 6; 24 45; 16 6
17 6; 24 46; 17 6
18 6; 24 47; 18 6
19 6; 24 48; 19 6
20 6; 24 49; 20 6
21 6; 24 50; 21 6
22 6; 24 51; 22 6
23 6; 24 52; 23 6
24 6; 24 53; 24 6
25 6; 24 54; 25 6
26 6; 24 55; 26 6
27 6; 24 56; 27 6
28 6; 24 57; 28 6
29 6; 24 58; 29 6
30 6; 24 59; 30 6
30 115; 25 0; -30 5
29 111; 25 1; -29 5
28 107; 25 2; -28 5
27 103; 25 3; -27 5
26 99; 25 4; -26 5
25 95; 25 5; -25 5
24 91; 25 6; -24 5
23 87; 25 7; -23 5
22 83; 25 8; -22 5
21 79; 25 9; -21 5
20 75; 25 10; -20 5
19 71; 25 11; -19 5
18 67; 25 12; -18 5
17 63; 25 13; -17 5
16 59; 25 14; -16 5
15 55; 25 15; -15 5
14 51; 25 16; -14 5
13 47; 25 17; -13 5
12 43; 25 18; -12 5
11 39; 25 19; -11 5
10 35; 25 20; -10 5
9 31; 25 21; -9 5
8 27; 25 22; -8 5
7 23; 25 23; -7 5
6 19; 25 24; -6 5
5 15; 25 25; -5 5
5 14; 25 26; -4 5
5 13; 25 27; -3 5
5 12; 25 28; -2 5
5 11; 25 29; -1 5
5 9; 25 30; 1 5
5 8; 25 31; 2 5
5 7; 25 32; 3 5
5 6; 25 33; 4 5
5 5; 25 34; 5 5
6 5; 25 35; 6 5
7 5; 25 36; 7 5
8 5; 25 37; 8 5
9 5; 25 38; 9 5
10 5; 25 39; 10 5
11 5; 25 40; 11 5
12 5; 25 41; 12 5
13 5; 25 42; 13 5
14 5; 25 43; 14 5
15 5; 25 44; 15 5
16 5; 25 45; 16 5
17 5; 25 46; 17 5
18 5; 25 47; 18 5
19 5; 25 48; 19 5
20 5; 25 49; 20 5
21 5; 25 50; 21 5
22 5; 25 51; 22 5
23 5; 25 52; 23 5
24 5; 25 53; 24 5
25 5; 25 54; 25 5
26 5; 25 55; 26 5
27 5; 25 56; 27 5
28 5; 25 57; 28 5
29 5; 25 58; 29 5
30 5; 25 59; 30 5
30 116; 26 0; -30 4
29 112; 26 1; -29 4
28 108; 26 2; -28 4
27 104; 26 3; -27 4
26 100; 26 4; -26 4
25 96; 26 5; -25 4
24 92; 26 6; -24 4
23 88; 26 7; -23 4
22 84; 26 8; -22 4
21 80; 26 9; -21 4
20 76; 26 10; -20 4
19 72; 26 11; -19 4
18 68; 26 12; -18 4
17 64; 26 13; -17 4
16 60; 26 14; -16 4
15 56; 26 15; -15 4
14 52; 26 16; -14 4
13 48; 26 17; -13 4
12 44; 26 18; -12 4
11 40; 26 19; -11 4
10 36; 26 20; -10 4
9 32; 26 21; -9 4
8 28; 26 22; -8 4
7 24; 26 23; -7 4
6 20; 26 24; -6 4
5 16; 26 25; -5 4
4 12; 26 26; -4 4
4 11; 26 27; -3 4
4 10; 26 28; -2 4
4 9; 26 29; -1 4
4 7; 26 30; 1 4
4 6; 26 31; 2 4
4 5; 26 32; 3 4
4 4; 26 33; 4 4
5 4; 26 34; 5 4
6 4; 26 35; 6 4
7 4; 26 36; 7 4
8 4; 26 37; 8 4
9 4; 26 38; 9 4
10 4; 26 39; 10 4
11 4; 26 40; 11 4
12 4; 26 41; 12 4
13 4; 26 42; 13 4
14 4; 26 43; 14 4
15 4; 26 44; 15 4
16 4; 26 45; 16 4
17 4; 26 46; 17 4
18 4; 26 47; 18 4
19 4; 26 48; 19 4
20 4; 26 49; 20 4
21 4; 26 50; 21 4
22 4; 26 51; 22 4
23 4; 26 52; 23 4
24 4; 26 53; 24 4
25 4; 26 54; 25 4
26 4; 26 55; 26 4
27 4; 26 56; 27 4
28 4; 26 57; 28 4
29 4; 26 58; 29 4
30 4; 26 59; 30 4
30 117; 27 0; -30 3
29 113; 27 1; -29 3
28 109; 27 2; -28 3
27 105; 27 3; -27 3
26 101; 27 4; -26 3
25 97; 27 5; -25 3
24 93; 27 6; -24 3
23 89; 27 7; -23 3
22 85; 27 8; -22 3
21 81; 27 9; -21 3
20 77; 27 10; -20 3
19 73; 27 11; -19 3
18 69; 27 12; -18 3
17 65; 27 13; -17 3
16 61; 27 14; -16 3
15 57; 27 15; -15 3
14 53; 27 16; -14 3
13 49; 27 17; -13 3
12 45; 27 18; -12 3
11 41; 27 19; -11 3
10 37; 27 20; -10 3
9 33; 27 21; -9 3
8 29; 27 22; -8 3
7 25; 27 23; -7 3
6 21; 27 24; -6 3
5 17; 27 25; -5 3
4 13; 27 26; -4 3
3 9; 27 27; -3 3
3 8; 27 28; -2 3
3 7; 27 29; -1 3
3 5; 27 30; 1 3
3 4; 27 31; 2 3
3 3; 27 32; 3 3
4 3; 27 33; 4 3
5 3; 27 34; 5 3
6 3; 27 35; 6 3
7 3; 27 36; 7 3
8 3; 27 37; 8 3
9 3; 27 38; 9 3
10 3; 27 39; 10 3
11 3; 27 40; 11 3
12 3; 27 41; 12 3
13 3; 27 42; 13 3
14 3; 27 43; 14 3
15 3; 27 44; 15 3
16 3; 27 45; 16 3
17 3; 27 46; 17 3
18 3; 27 47; 18 3
19 3; 27 48; 19 3
20 3; 27 49; 20 3
21 3; 27 50; 21 3
22 3; 27 51; 22 3
23 3; 27 52; 23 3
24 3; 27 53; 24 3
25 3; 27 54; 25 3
26 3; 27 55; 26 3
27 3; 27 56; 27 3
28 3; 27 57; 28 3
29 3; 27 58; 29 3
30 3; 27 59; 30 3
30 118; 28 0; -30 2
29 114; 28 1; -29 2
28 110; 28 2; -28 2
27 106; 28 3; -27 2
26 102; 28 4; -26 2
25 98; 28 5; -25 2
24 94; 28 6; -24 2
23 90; 28 7; -23 2
22 86; 28 8; -22 2
21 82; 28 9; -21 2
20 78; 28 10; -20 2
19 74; 28 11; -19 2
18 70; 28 12; -18 2
17 66; 28 13; -17 2
16 62; 28 14; -16 2
15 58; 28 15; -15 2
14 54; 28 16; -14 2
13 50; 28 17; -13 2
12 46; 28 18; -12 2
11 42; 28 19; -11 2
10 38; 28 20; -10 2
9 34; 28 21; -9 2
8 30; 28 22; -8 2
7 26; 28 23; -7 2
6 22; 28 24; -6 2
5 18; 28 25; -5 2
4 14; 28 26; -4 2
3 10; 28 27; -3 2
2 6; 28 28; -2 2
2 5; 28 29; -1 2
2 3; 28 30; 1 2
2 2; 28 31; 2 2
3 2; 28 32; 3 2
4 2; 28 33; 4 2
5 2; 28 34; 5 2
6 2; 28 35; 6 2
7 2; 28 36; 7 2
8 2; 28 37; 8 2
9 2; 28 38; 9 2
10 2; 28 39; 10 2
11 2; 28 40; 11 2
12 2; 28 41; 12 2
13 2; 28 42; 13 2
14 2; 28 43; 14 2
15 2; 28 44; 15 2
16 2; 28 45; 16 2
17 2; 28 46; 17 2
18 2; 28 47; 18 2
19 2; 28 48; 19 2
20 2; 28 49; 20 2
21 2; 28 50; 21 2
22 2; 28 51; 22 2
23 2; 28 52; 23 2
24 2; 28 53; 24 2
25 2; 28 54; 25 2
26 2; 28 55; 26 2
27 2; 28 56; 27 2
28 2; 28 57; 28 2
29 2; 28 58; 29 2
30 2; 28 59; 30 2
30 119; 29 0; -30 1
29 115; 29 1; -29 1
28 111; 29 2; -28 1
27 107; 29 3; -27 1
26 103; 29 4; -26 1
25 99; 29 5; -25 1
24 95; 29 6; -24 1
23 91; 29 7; -23 1
22 87; 29 8; -22 1
21 83; 29 9; -21 1
20 79; 29 10; -20 1
19 75; 29 11; -19 1
18 71; 29 12; -18 1
17 67; 29 13; -17 1
16 63; 29 14; -16 1
15 59; 29 15; -15 1
14 55; 29 16; -14 1
13 51; 29 17; -13 1
12 47; 29 18; -12 1
11 43; 29 19; -11 1
10 39; 29 20; -10 1
9 35; 29 21; -9 1
8 31; 29 22; -8 1
7 27; 29 23; -7 1
6 23; 29 24; -6 1
5 19; 29 25; -5 1
4 15; 29 26; -4 1
3 11; 29 27; -3 1
2 7; 29 28; -2 1
1 3; 29 29; -1 1
1 1; 29 30; 1 1
2 1; 29 31; 2 1
3 1; 29 32; 3 1
4 1; 29 33; 4 1
5 1; 29 34; 5 1
6 1; 29 35; 6 1
7 1; 29 36; 7 1
8 1; 29 37; 8 1
9 1; 29 38; 9 1
10 1; 29 39; 10 1
11 1; 29 40; 11 1
12 1; 29 41; 12 1
13 1; 29 42; 13 1
14 1; 29 43; 14 1
15 1; 29 44; 15 1
16 1; 29 45; 16 1
17 1; 29 46; 17 1
18 1; 29 47; 18 1
19 1; 29 48; 19 1
20 1; 29 49; 20 1
21 1; 29 50; 21 1
22 1; 29 51; 22 1
23 1; 29 52; 23 1
24 1; 29 53; 24 1
25 1; 29 54; 25 1
26 1; 29 55; 26 1
27 1; 29 56; 27 1
28 1; 29 57; 28 1
29 1; 29 58; 29 1
30 1; 29 59; 30 1
<0: 30 -119; 30 0; -30 -1
30 118; 30 0; -30 -1
<0: 29 -115; 30 1; -29 -1
29 114; 30 1; -29 -1
<0: 28 -111; 30 2; -28 -1
28 110; 30 2; -28 -1
<0: 27 -107; 30 3; -27 -1
27 106; 30 3; -27 -1
<0: 26 -103; 30 4; -26 -1
26 102; 30 4; -26 -1
<0: 25 -99; 30 5; -25 -1
25 98; 30 5; -25 -1
<0: 24 -95; 30 6; -24 -1
24 94; 30 6; -24 -1
<0: 23 -91; 30 7; -23 -1
23 90; 30 7; -23 -1
<0: 22 -87; 30 8; -22 -1
22 86; 30 8; -22 -1
<0: 21 -83; 30 9; -21 -1
21 82; 30 9; -21 -1
<0: 20 -79; 30 10; -20 -1
20 78; 30 10; -20 -1
<0: 19 -75; 30 11; -19 -1
19 74; 30 11; -19 -1
<0: 18 -71; 30 12; -18 -1
18 70; 30 12; -18 -1
<0: 17 -67; 30 13; -17 -1
17 66; 30 13; -17 -1
<0: 16 -63; 30 14; -16 -1
16 62; 30 14; -16 -1
<0: 15 -59; 30 15; -15 -1
15 58; 30 15; -15 -1
<0: 14 -55; 30 16; -14 -1
14 54; 30 16; -14 -1
<0: 13 -51; 30 17; -13 -1
13 50; 30 17; -13 -1
<0: 12 -47; 30 18; -12 -1
12 46; 30 18; -12 -1
<0: 11 -43; 30 19; -11 -1
11 42; 30 19; -11 -1
<0: 10 -39; 30 20; -10 -1
10 38; 30 20; -10 -1
<0: 9 -35; 30 21; -9 -1
9 34; 30 21; -9 -1
<0: 8 -31; 30 22; -8 -1
8 30; 30 22; -8 -1
<0: 7 -27; 30 23; -7 -1
7 26; 30 23; -7 -1
<0: 6 -23; 30 24; -6 -1
6 22; 30 24; -6 -1
<0: 5 -19; 30 25; -5 -1
5 18; 30 25; -5 -1
<0: 4 -15; 30 26; -4 -1
4 14; 30 26; -4 -1
<0: 3 -11; 30 27; -3 -1
3 10; 30 27; -3 -1
<0: 2 -7; 30 28; -2 -1
2 6; 30 28; -2 -1
<0: 1 -3; 30 29; -1 -1
1 2; 30 29; -1 -1
<0: 1 -1; 30 30; 1 -1
1 4; 30 30; 1 -1
<0: 2 -1; 30 31; 2 -1
2 12; 30 31; 2 -1
<0: 3 -1; 30 32; 3 -1
3 20; 30 32; 3 -1
<0: 4 -1; 30 33; 4 -1
4 28; 30 33; 4 -1
<0: 5 -1; 30 34; 5 -1
5 36; 30 34; 5 -1
<0: 6 -1; 30 35; 6 -1
6 44; 30 35; 6 -1
<0: 7 -1; 30 36; 7 -1
7 52; 30 36; 7 -1
<0: 8 -1; 30 37; 8 -1
8 60; 30 37; 8 -1
<0: 9 -1; 30 38; 9 -1
9 68; 30 38; 9 -1
<0: 10 -1; 30 39; 10 -1
10 76; 30 39; 10 -1
<0: 11 -1; 30 40; 11 -1
11 84; 30 40; 11 -1
<0: 12 -1; 30 41; 12 -1
12 92; 30 41; 12 -1
<0: 13 -1; 30 42; 13 -1
13 100; 30 42; 13 -1
<0: 14 -1; 30 43; 14 -1
14 108; 30 43; 14 -1
<0: 15 -1; 30 44; 15 -1
15 116; 30 44; 15 -1
<0: 16 -1; 30 45; 16 -1
16 124; 30 45; 16 -1
<0: 17 -1; 30 46; 17 -1
17 132; 30 46; 17 -1
<0: 18 -1; 30 47; 18 -1
18 140; 30 47; 18 -1
<0: 19 -1; 30 48; 19 -1
19 148; 30 48; 19 -1
<0: 20 -1; 30 49; 20 -1
20 156; 30 49; 20 -1
<0: 21 -1; 30 50; 21 -1
21 164; 30 50; 21 -1
<0: 22 -1; 30 51; 22 -1
22 172; 30 51; 22 -1
<0: 23 -1; 30 52; 23 -1
23 180; 30 52; 23 -1
<0: 24 -1; 30 53; 24 -1
24 188; 30 53; 24 -1
<0: 25 -1; 30 54; 25 -1
25 196; 30 54; 25 -1
<0: 26 -1; 30 55; 26 -1
26 204; 30 55; 26 -1
<0: 27 -1; 30 56; 27 -1
27 212; 30 56; 27 -1
<0: 28 -1; 30 57; 28 -1
28 220; 30 57; 28 -1
<0: 29 -1; 30 58; 29 -1
29 228; 30 58; 29 -1
<0: 30 -1; 30 59; 30 -1
30 236; 30 59; 30 -1
<0: 30 -118; 31 0; -30 -2
30 119; 31 0; -30 -2
<0: 29 -114; 31 1; -29 -2
29 115; 31 1; -29 -2
<0: 28 -110; 31 2; -28 -2
28 111; 31 2; -28 -2
<0: 27 -106; 31 3; -27 -2
27 107; 31 3; -27 -2
<0: 26 -102; 31 4; -26 -2
26 103; 31 4; -26 -2
<0: 25 -98; 31 5; -25 -2
25 99; 31 5; -25 -2
<0: 24 -94; 31 6; -24 -2
24 95; 31 6; -24 -2
<0: 23 -90; 31 7; -23 -2
23 91; 31 7; -23 -2
<0: 22 -86; 31 8; -22 -2
22 87; 31 8; -22 -2
<0: 21 -82; 31 9; -21 -2
21 83; 31 9; -21 -2
<0: 20 -78; 31 10; -20 -2
20 79; 31 10; -20 -2
<0: 19 -74; 31 11; -19 -2
19 75; 31 11; -19 -2
<0: 18 -70; 31 12; -18 -2
18 71; 31 12; -18 -2
<0: 17 -66; 31 13; -17 -2
17 67; 31 13; -17 -2
<0: 16 -62; 31 14; -16 -2
16 63; 31 14; -16 -2
<0: 15 -58; 31 15; -15 -2
15 59; 31 15; -15 -2
<0: 14 -54; 31 16; -14 -2
14 55; 31 16; -14 -2
<0: 13 -50; 31 17; -13 -2
13 51; 31 17; -13 -2
<0: 12 -46; 31 18; -12 -2
12 47; 31 18; -12 -2
